"Salary_Cap_Perc","fg","rookie_contract","bird_rights","age","fta","blk","g","US_Player","maximum_contract","ts_pct","drb","trb","pf","ast","pos_PG","usg_pct","bpm"
0.258424643,6.9,0,1,31,3.3,0.4,79,0,0,0.51,7.5,9.8,3,2.3,0,25.8,-0.1
0.26074064,5.9,0,1,32,2.5,0.3,76,0,0,0.489,6.5,8.3,2.8,1.6,0,26.3,-2.1
0.060658579,4,0,0,27,1.6,0.3,75,0,0,0.526,4.6,5.3,1.8,2.7,0,18,1.5
0.060299083,4.1,0,0,28,1.5,0.2,49,0,0,0.517,3.6,4.1,1.5,2.3,0,17.7,1.5
0.060299083,3.4,0,0,29,0.9,0.2,54,0,0,0.515,3.5,3.9,1.8,2.3,0,15.5,-0.1
0.27348201,10,0,1,25,8.9,0.4,69,1,1,0.548,4.4,6.6,3.3,3.2,0,33.4,2.3
0.295452467,8.9,0,1,26,7.9,0.6,77,1,1,0.557,5.8,7.3,2.9,2.9,0,32,1.9
0.335090621,10,0,1,28,7.6,0.5,67,1,0,0.56,4.9,6.9,3.1,2.6,0,35.6,4.3
0.381865301,9.6,0,1,29,7,0.7,77,1,0,0.561,6.2,8.1,2.9,3.1,0,32.4,5
0.169514211,6.1,0,0,29,4.3,0.3,74,1,0,0.507,4.8,6.2,2.6,2.1,0,22.1,-1.3
0.181964716,5.9,0,0,30,3,0.3,29,1,0,0.523,3.3,4.1,2,1.6,0,25.1,-0.9
0.137826476,4.6,0,0,31,1.7,0.1,63,1,0,0.501,3,3.7,2,1.2,0,20.4,-2
0.137826476,3.9,0,0,32,1.2,0.1,78,1,0,0.535,2.3,2.9,1.8,1,0,20.2,-1.3
